City,State,Church,Pastor,Stat Year,Comm,Non Comm,Prof Child,Prof Adult,Trans Letter,Reaffirmation,Restored,Death,Trans,Removed From Roll,Discipline,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades Included,Total Enrollment,Tithes & Offerings,Special Causes,Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,Administration,Discipleship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,Ridge Haven,Reformed University Ministries,PCA Office Building,Other,Presbytery Operation,Christian Education,Home Missions,Internat'l Missions,Other Presbytery Min,Local Ministries,Mercy Ministires,PCA Internat'l Missions,PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total Benevolent Disbursements,Current Expenses,Building Fund,Total All Disbursements,Benevol Grand Total,Per Capita Giving
Cleveland,TN,Trinity Presbyterian Church,Philip Caines,2023,226,34,10,2,7,18,0,0,6,5,0,3,6,12,9,82,173,140,212,No Grades Included Reported,0,443563,34735,39711,5282,523291,16892,540183,1022,1022,3796,3796,1460,1460,584,2044,0,0,2865,0,0,0,0,4800,17357,1500,0,9900,0,0,51606,406212,99711,557529,0.0925620012591273,2315.44690265487
Wilson,NC,Wilson Presbyterian Church,William Andrew Raynor,2023,133,18,2,3,4,0,0,0,5,6,1,1,2,2,2,54,75,30,115,No Grades Included Reported,0,336169,1777,0,0,337946,7403,345349,179,156,580,670,201,223,89,402,0,0,4050,0,0,0,0,2400,0,4356,10454,6752,0,0,30512,243906,0,274418,0.11118804160077,2540.94736842105
Savannah,GA,The Kirk Presbyterian,Pete Whitney,2023,154,50,6,2,2,5,0,0,11,2,0,1,7,6,7,75,74,75,165,No Grades Included Reported,0,566243,0,0,0,566243,0,566243,1125,0,0,0,0,0,0,0,0,0,4400,0,0,0,0,14900,0,16300,0,22130,0,0,58855,0,0,58855,1.0,3676.9025974026
Bovard,PA,Laurel Highlands Presbyterian Church,Adrian Armel,2023,45,19,0,0,0,0,0,0,0,0,0,0,3,3,0,12,20,10,45,No Grades Included Reported,0,83686,0,0,0,83686,0,83686,0,0,0,0,0,0,0,1200,0,0,300,0,0,0,0,5000,0,600,0,0,0,0,7100,121000,0,128100,0.0554254488680718,1859.68888888889
Riverview,FL,Redeemer Presbyterian Church,Craig A. Swartz,2023,230,48,3,7,4,10,0,0,5,13,0,3,2,9,7,190,80,184,256,No Grades Included Reported,0,876278,23524,31130,10000,940932,17020,957952,1859,1627,6043,6973,2080,2324,930,4184,0,0,4000,0,4000,0,0,2500,9574,9000,7250,17225,0,0,79569,832747,3726,916042,0.0868617377805821,4091.00869565217
Herndon,VA,Grace Christian Church,Zhiyong Paul Wang,2023,303,30,3,10,13,0,0,1,0,17,1,10,6,4,7,165,80,110,170,No Grades Included Reported,0,609025,20491,2200,0,631716,12,631728,2650,0,1500,1500,300,300,0,1000,0,5776,5862,0,3500,3500,0,0,0,0,0,41450,0,0,67338,608604,0,675942,0.0996209733971258,2084.87128712871
Meridianville,AL,North Hills Presbyterian Church,Adam Tisdale,2023,74,11,5,0,0,11,0,2,0,3,0,3,0,1,1,45,20,0,65,P,135,256000,0,0,0,256000,54000,310000,450,0,0,0,0,0,0,0,0,0,1143,0,0,0,700,4600,2500,4500,1400,1700,0,0,16993,232000,0,248993,0.0682468985071869,3459.45945945946
Conshohocken,PA,Christ The King Presbyterian Church,Eric C. Huber,2023,112,25,3,0,6,4,0,1,4,0,0,0,0,5,6,62,70,60,120,No Grades Included Reported,0,481917,0,17299,4200,503416,6034,509450,11750,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,68627,46800,0,3400,7000,0,138777,335921,151263,625961,0.221702310527333,4494.78571428571
Center Valley,PA,Cornerstone Presbyterian Church,Daniel Ledford,2023,170,34,1,10,1,6,0,1,15,23,0,3,0,8,3,153,36,122,246,No Grades Included Reported,0,412313,1790,0,12,414115,6900,421015,300,300,300,300,0,0,0,0,0,2136,0,0,0,0,0,6360,5067,10461,10673,15734,0,0,51631,324300,5460,381391,0.135375507025598,2435.97058823529
Santa Ana,CA,Trinity Presbyterian Church of Orange County,Eric Kapur,2023,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Grades Included Reported,0,822948,0,0,0,822948,0,822948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67500,0,0,0,0,0,67500,606688,0,674188,0.100120441182578,3291.792
Greenwich,CT,Grace Church of Greenwich,Daniel Sang-Hoon Hong,2023,104,41,5,1,6,0,0,0,4,0,0,4,0,7,0,49,38,37,95,No Grades Included Reported,0,647274,95975,0,0,743249,0,743249,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21215,0,0,41760,32000,0,0,95975,614852,0,710827,0.135018787975133,7146.625
Indian Shores,FL,Christ the King Presbyterian Church,Samuel Lee Brewer,2023,87,14,0,0,0,1,0,1,3,5,0,0,0,4,6,37,65,45,75,No Grades Included Reported,0,203577,9230,0,0,212807,2191,214998,650,0,0,0,0,0,0,1800,0,0,1080,0,0,0,0,0,1619,8400,0,12000,0,0,25549,188177,0,213726,0.119540907517101,2446.05747126437
Norfolk,VA,Trinity Presbyterian Church,Leland Jackson Howell,2023,454,158,10,7,19,21,0,0,5,28,0,8,4,3,4,132,105,253,360,No Grades Included Reported,0,1361487,69988,82714,0,1514189,0,1514189,3480,0,7012,8091,0,0,0,4855,0,1000,10000,0,24000,0,0,43893,3273,12000,24600,35600,0,0,177804,985616,222102,1385522,0.128329972385859,3335.21806167401
Harlem,GA,Providence Presbyterian Church,Gordon D. Crompton,2023,15,0,0,1,0,1,0,0,0,0,0,0,0,3,0,10,11,0,13,No Grades Included Reported,0,75117,0,0,300,75417,0,75417,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,100,0,0,600,74817,0,75417,0.007955765941366,5027.8
Clayton,NC,Christ Church,John A. Musgrave,2023,52,0,0,0,0,0,0,0,6,8,0,0,0,3,5,22,33,0,42,No Grades Included Reported,0,139442,0,0,3850,143292,79,143371,408,357,1326,1530,510,510,204,918,0,0,2030,0,0,0,0,0,0,0,3600,0,0,0,11393,0,0,11393,1.0,2755.61538461538
Draper,UT,Corner Canyon Church,Nathanael Taylor,2023,150,30,12,13,0,0,0,0,0,0,0,4,3,4,3,60,10,70,80,No Grades Included Reported,0,241642,14625,0,0,256267,1885,258152,100,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,4025,1800,0,3600,0,0,10025,254849,1100,265974,0.0376916540714506,1708.44666666667
Westminster,CO,Rocky Mountain Presbyterian Church,Shane Waldron,2023,152,35,8,10,0,0,0,1,0,33,0,1,3,5,4,64,25,65,185,No Grades Included Reported,0,665306,0,334398,0,999704,24829,1024533,1125,0,0,14400,0,0,0,0,0,0,0,0,16177,0,0,39348,0,7047,13000,0,0,0,91097,504454,375961,971512,0.0937682704897109,6577.0
St. Charles,MO,Grace Presbyterian Church,Michael G. McLaughlin,2023,163,37,8,0,1,13,0,2,5,17,0,3,2,5,7,78,50,45,183,No Grades Included Reported,0,522030,0,2000,17495,541525,10247,551772,1000,0,0,0,0,0,0,2000,0,0,2000,0,0,0,0,0,4000,15050,6200,0,0,0,30250,379106,151103,560459,0.0539736180523464,3322.23926380368
