City,State,Church,Pastor,Stat Year,Comm,Non Comm,Prof Child,Prof Adult,Trans Letter,Reaffirmation,Restored,Death,Trans,Removed From Roll,Discipline,Adult Bapt,Infant Bapt,Ruling Elders,Deacons,Family Units,Sunday School Attend,Small Group Attend,Est Morn Attend,Grades Included,Total Enrollment,Tithes & Offerings,Special Causes,Building Fund Offering,Other Contrib,Total Contrib,Other Income,Total Church Income,Administration,Discipleship Min.,Mission to N. America,Mission to the World,Covenant College,Covenant Seminary,Ridge Haven,Reformed University Ministries,PCA Office Building,Other,Presbytery Operation,Christian Education,Home Missions,Internat'l Missions,Other Presbytery Min,Local Ministries,Mercy Ministires,PCA Internat'l Missions,PCA Home Mission,Non-PCA Mission,PCA Schools,Non-PCA Schools,Total Benevolent Disbursements,Current Expenses,Building Fund,Total All Disbursements,Benevol Grand Total,Per Capita Giving
Calabasas,CA,Church in the Canyon,No Pastor Reported,2017,55,20,0,0,0,0,0,1,0,0,0,0,1,3,3,22,10,0,73,No Grades Included Reported,0,277474,456,0,0,277930,5378,283308,264,137,780,1424,394,376,0,773,0,0,4000,0,1222,0,0,3495,28959,5852,3979,17135,0,0,68790,222282,0,291072,0.236333278364116,5053.27272727273
Allenwood,NJ,Calvary Presbyterian Church,Thomas Michael Harr Jr.,2017,105,44,1,4,4,1,0,0,2,2,0,0,2,5,3,61,35,0,140,No Grades Included Reported,0,419533,0,0,0,419533,346,419879,3000,800,7910,26453,800,1000,400,3000,0,3500,4500,0,0,0,2550,5056,0,0,0,4000,0,0,62969,191621,0,254590,0.247334930672847,3995.55238095238
Raleigh,NC,Calvary Presbyterian Church,Nathanael James Wilks,2017,75,16,0,0,4,2,0,0,0,2,0,0,2,2,2,39,40,0,70,No Grades Included Reported,0,259048,0,29800,0,288848,14797,303645,0,0,0,0,0,0,0,0,0,6600,2700,0,0,0,0,10200,1213,14880,7920,4626,0,0,48139,214575,0,262714,0.183237284651751,3851.30666666667
Mize,MS,Calvary Presbyterian Church,Jackson Chang Pei Lin,2017,66,0,2,0,0,0,0,3,0,0,0,0,0,4,6,37,28,0,45,No Grades Included Reported,0,98000,0,0,0,98000,0,98000,200,0,0,200,0,0,0,0,0,0,400,0,0,0,0,1500,0,2800,0,500,500,0,6100,45000,0,51100,0.119373776908023,1484.84848484848
Hampton,VA,Calvary Reformed Presbyterian Church of Hampton Roads,Jeffrey Daniel Ferguson,2017,233,32,3,0,5,7,0,1,20,7,0,0,4,8,13,95,150,0,185,KEM,60,535477,0,332956,25121,893554,3714,897268,500,400,3200,13600,400,0,300,22102,0,0,4200,0,0,0,0,10240,12320,14649,3400,28800,25000,600,139711,383100,41491,564302,0.247581968520402,3834.99570815451
Willow Grove,PA,Calvary Presbyterian Church,Angel Gomez,2017,252,34,12,7,6,0,0,8,8,0,0,1,3,8,8,132,83,0,175,No Grades Included Reported,0,389846,875,3399,959,395079,36630,431709,700,1000,1500,0,0,0,0,0,0,0,2700,0,3900,0,4400,4200,7695,14900,0,6200,0,0,47195,347388,13400,407983,0.115678839559491,1567.77380952381
Willow Grove,PA,Calvary Presbyterian Church,Angel Gomez,2017,252,34,12,7,6,0,0,8,8,0,0,1,3,8,8,132,83,0,175,No Grades Included Reported,0,389846,875,3399,959,395079,36630,431709,700,1000,1500,0,0,0,0,0,0,0,2700,0,3900,0,4400,4200,7695,14900,0,6200,0,0,47195,347388,13400,407983,0.115678839559491,1567.77380952381
North Huntingdon,PA,Calvin Presbyterian Church,Aaron Patrick Garber,2017,125,22,2,2,2,3,0,3,1,3,0,0,3,7,9,70,51,0,95,No Grades Included Reported,0,257524,2420,9950,1620,271514,0,271514,1000,700,0,17232,0,0,0,2000,0,300,2800,80,0,0,0,2298,600,4236,9600,0,0,0,40846,208675,47307,296828,0.137608311884324,2172.112
Carlisle,PA,Carlisle Reformed Presbyterian Church,Matt T. Purdy,2017,162,42,0,1,0,24,0,3,3,24,0,1,3,5,5,82,80,0,147,No Grades Included Reported,0,459973,25694,4330,22143,512140,2609,514749,375,375,1450,1350,500,575,0,3375,0,0,3800,0,0,0,0,14924,33725,43648,8700,15700,0,3000,131497,304538,0,436035,0.301574414897887,3161.35802469136
Locust,NC,Carolina Presbyterian Church,No Pastor Reported,2017,259,80,6,5,9,0,0,3,11,33,0,2,10,7,8,108,142,0,193,PKEMH,311,452097,151267,46262,9076,658702,20149,678851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4669,155039,0,0,0,0,159708,379932,166289,705929,0.226238049435566,2543.25096525097
Carrollton,MS,Carrollton Presbyterian Church,No Pastor Reported,2017,56,19,0,1,0,0,0,0,0,0,0,0,0,4,4,41,7,0,20,No Grades Included Reported,0,48155,0,3000,0,51155,2002,53157,300,0,0,1000,0,0,0,0,0,0,2750,0,0,0,0,3000,0,2200,1000,2000,0,0,12250,39244,50243,101737,0.120408504280645,913.482142857143
Carthage,MS,Carthage Presbyterian Church,No Pastor Reported,2017,55,0,0,0,0,0,0,2,0,0,0,0,0,2,5,18,10,0,25,No Grades Included Reported,0,72471,2857,0,0,75328,0,75328,0,0,0,0,0,0,0,0,0,0,1482,0,0,0,1100,1800,0,0,0,2000,0,0,6382,79975,0,86357,0.0739025209305557,1369.6
Eugene,OR,City Church,No Pastor Reported,2017,100,20,0,2,18,0,0,0,20,0,0,2,2,1,1,40,0,0,75,No Grades Included Reported,0,142000,0,0,0,142000,543000,685000,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,500,0,0,0,0,0,0,4500,262000,0,266500,0.0168855534709193,1420.0
Moore,SC,Center Point Presbyterian Church,Raymond A. Hellings Sr.,2017,65,12,0,3,0,0,0,1,0,1,0,0,0,4,3,32,18,0,42,No Grades Included Reported,0,111821,0,0,0,111821,0,111821,200,0,2500,0,0,0,0,1500,0,500,1500,0,0,0,0,4900,0,0,0,0,0,0,11100,88845,0,99945,0.111061083595978,1720.32307692308
Chester,VA,Centralia Presbyterian Church,William Daniel Lipford,2017,83,0,1,3,0,0,0,1,0,0,0,0,1,2,0,42,25,0,43,No Grades Included Reported,0,143364,20325,17720,2360,183769,2800,186569,250,250,3250,7600,0,0,250,1000,0,1341,1300,0,0,0,0,3446,0,0,0,6428,0,0,25115,166641,0,191756,0.13097373745802,2214.0843373494
Beaver,PA,Chapel Presbyterian Church,Steven Maker,2017,194,64,2,3,10,6,0,1,0,8,0,0,7,7,7,114,125,0,200,No Grades Included Reported,0,332485,0,70947,0,403432,408,403840,200,0,0,0,0,0,0,0,0,0,1600,0,900,0,0,2960,13202,14400,0,11600,0,0,44862,330165,64000,439027,0.102185059233259,2079.54639175258
Marriottsville,MD,Chapelgate Presbyterian Church,Mike L. Khandjian,2017,992,229,12,20,19,12,0,8,11,45,0,4,12,18,14,646,325,0,850,PKMH,320,2442047,276503,72455,0,2791005,245969,3036974,2996,3392,3691,96425,4488,4988,0,3000,0,0,5884,0,0,0,0,8670,43101,0,30002,214025,0,0,420662,2801686,20026,3242374,0.129738888851194,2813.51310483871
Chattahoochee,FL,Chattahoochee Presbyterian Church,No Pastor Reported,2017,12,3,0,0,0,0,0,1,0,1,0,0,0,1,0,8,6,0,13,No Grades Included Reported,0,45360,290,0,176,45826,0,45826,100,0,0,0,0,0,0,0,0,100,0,143,0,2100,300,562,0,0,0,1970,0,0,5275,38925,0,44200,0.119343891402715,3818.83333333333
Falls Church,VA,Chinese Christian Church,Beng Voon Chua,2017,225,43,3,10,0,0,0,2,1,0,11,3,6,4,5,120,150,0,390,No Grades Included Reported,0,530083,55375,343405,44580,973443,16595,990038,1700,800,2200,2100,2400,2400,0,0,0,700,5466,0,0,0,0,18080,4585,0,2000,14950,0,4000,61381,490895,1620,553896,0.110816832040672,4326.41333333333
Grand Rapids,MI,Christ Church,Andrew Vander Maas,2017,518,152,7,3,7,12,0,3,4,0,0,0,8,10,11,269,160,0,433,No Grades Included Reported,0,871424,16368,0,0,887792,7317,895109,1200,1200,1500,0,1500,1500,0,0,0,0,2000,0,0,0,14500,26652,10325,35185,8184,29793,0,2000,135539,668759,0,804298,0.168518384976713,1713.88416988417
Roselle,IL,Christ Presbyterian Church,Pablo Herrera,2017,122,35,1,0,21,1,0,0,5,3,1,0,2,4,3,68,45,0,96,No Grades Included Reported,0,303850,0,20,0,303870,22425,326295,435,0,4403,5508,0,0,0,2298,0,0,2100,0,0,0,0,0,221,0,0,12912,0,0,27877,257917,0,285794,0.0975422857022891,2490.73770491803
Arlington,VA,Christ Church of Arlington,William E. Boyce,2017,105,45,0,1,1,3,0,0,8,6,0,1,3,5,3,58,0,0,0,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Franklin,TN,Christ Community Church,Randy M. Lovelace,2017,1016,368,20,9,83,13,0,3,14,17,0,13,5,25,39,468,456,0,805,P,145,3037437,367255,34640,0,3439332,1051,3440383,9700,0,990,15000,0,0,0,42000,0,0,19997,0,12100,0,0,0,117429,5000,12761,85769,0,0,320746,2599957,65008,2985711,0.107427008173263,3385.16929133858
Matthews,NC,Christ Covenant Church,Kevin DeYoung,2017,1614,321,25,5,2,92,2,9,15,46,0,4,14,49,29,805,672,0,1043,PKEMH,858,5143854,2385403,718413,18450,8266120,540557,8806677,16800,0,13500,13500,17740,1600,500,0,0,2750,20900,0,0,19920,0,81267,94650,51399,0,3011695,29701,0,3375922,4779778,152101,8307801,0.406355664994864,5121.51177199504
Nashville,TN,Christ Presbyterian Church,No Pastor Reported,2017,2627,539,52,2,171,88,0,10,32,0,0,10,72,35,34,950,500,0,1550,PKEMH,1307,6730402,217083,0,0,6947485,142036,7089521,1500,960,3000,36000,3600,3840,0,41200,0,0,45804,0,0,0,0,279866,147140,0,0,0,0,0,562910,6348618,0,6911528,0.0814450871066427,2644.64598401218
Tulsa,OK,Christ Presbyterian Church,Jeremy Fair,2017,267,45,9,0,2,15,0,1,8,20,0,0,13,7,6,133,170,0,240,No Grades Included Reported,0,610658,58390,0,0,669048,0,669048,200,0,0,0,2750,0,0,0,0,0,2438,0,9000,0,0,1540,9218,10828,25385,94905,0,0,156264,541565,0,697829,0.223928784845571,2505.79775280899
Owensboro,KY,Christ Presbyterian Church,John O. Birkett,2017,125,23,8,0,4,4,0,0,1,2,1,2,10,2,5,44,13,0,105,No Grades Included Reported,0,221589,5535,1300,0,228424,729,229153,811,811,3022,2799,1047,1164,470,2835,0,0,800,0,600,120,0,995,12332,0,0,9635,0,0,37441,161143,0,198584,0.18853986222455,1827.392
Richmond,IN,Christ Presbyterian Church,Rich Hawkins,2017,124,35,2,1,4,1,0,0,1,1,0,3,0,6,4,0,0,0,0,No Grades Included Reported,0,400007,33462,0,971,434440,970,435410,882,0,1799,1799,1260,1260,0,0,0,0,7500,0,0,0,0,31514,15470,20333,0,36032,0,1300,119149,293656,0,412805,0.28863264737588,3503.54838709677
Charleston,SC,Church Creek Presbyterian Church,Nick Batzig,2017,143,39,0,3,8,0,0,2,3,0,0,0,1,6,8,77,50,0,123,PKE,93,363789,3985,17163,1100,386037,308,386345,350,0,0,13800,0,0,0,4000,0,0,4300,0,0,0,0,0,6105,0,0,18435,27450,0,74440,276463,47200,398103,0.186986784827042,2699.55944055944
Durham,NC,Church of the Good Shepherd,Simon Hardesty Stokes,2017,700,252,25,2,27,14,2,4,38,5,0,3,21,16,13,335,359,0,577,No Grades Included Reported,0,2747823,232457,21292,0,3001572,7904,3009476,5000,5000,19000,143894,0,0,0,53000,0,0,24000,0,0,0,0,628,40664,0,35000,171034,5000,0,502220,1413342,607719,2523281,0.199034511019581,4287.96
Clemson,SC,Clemson Presbyterian Church,Bryan Jordan Counts,2017,466,131,0,2,21,0,0,4,4,0,0,1,4,15,10,239,300,0,600,No Grades Included Reported,0,1382225,33904,66304,99826,1582259,0,1582259,2897,1535,7871,15141,4373,4177,1986,68900,0,0,12320,0,0,0,0,0,17025,0,0,74390,0,0,210615,1301505,0,1512120,0.139284580588842,3395.40557939914
Coeburn,VA,Coeburn Presbyterian Church,No Pastor Reported,2017,60,9,0,0,0,0,0,0,0,0,0,0,0,2,4,28,35,0,50,No Grades Included Reported,0,92322,0,0,0,92322,112,92434,0,0,0,2050,0,0,0,450,0,650,100,0,0,0,0,500,2417,0,0,1000,0,500,7667,70352,0,78019,0.0982709340032556,1538.7
Oxford,MS,College Hill Presbyterian Church,Ryan Dean,2017,161,44,0,15,0,0,0,1,2,0,0,0,0,6,8,0,0,0,157,No Grades Included Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Colleyville,TX,Colleyville Presbyterian Church,Josh Anderson,2017,161,34,4,0,3,13,0,1,0,5,0,0,4,3,5,78,40,0,145,No Grades Included Reported,0,295859,0,0,295859,591718,51946,643664,0,0,1500,3960,0,0,0,3000,0,0,2400,0,0,0,8164,1800,0,0,0,17268,0,0,38092,327872,0,365964,0.104086740772316,3675.26708074534
St. Albans,VT,Trinity Presbyterian Church,Seth Anderson,2017,55,25,0,0,0,0,0,1,1,0,0,0,3,3,0,35,30,0,64,No Grades Included Reported,0,117150,3213,0,0,120363,0,120363,100,100,100,100,600,100,100,100,0,0,500,0,0,0,0,800,450,2300,780,1500,0,0,7630,108280,0,115910,0.0658269346907083,2188.41818181818
Moody,AL,Community Presbyterian Church,Robert W. Grames III,2017,365,58,0,0,26,0,0,2,6,16,0,0,2,7,7,0,0,0,210,No Grades Included Reported,0,438400,4438,5350,0,448188,0,448188,0,0,0,0,1200,0,0,0,0,0,0,0,0,0,0,3000,1200,9000,1200,31800,0,0,47400,398376,0,445776,0.106331431032626,1227.91232876712
Waterloo,IL,Concord Presbyterian Church,Brian Matthew Sandifer,2017,132,27,0,1,2,0,0,1,6,8,0,0,2,7,11,78,53,0,131,No Grades Included Reported,0,303197,1207,3075,17707,325186,1066,326252,0,500,0,17011,2490,2400,0,0,0,500,1000,0,4800,0,500,260,10382,19206,20,17422,1000,0,77491,231751,0,309242,0.250583685269142,2463.5303030303
Tallahassee,FL,Cornerstone Presbyterian Church,No Pastor Reported,2017,24,0,0,0,0,0,0,1,0,33,0,0,0,3,1,15,10,0,25,No Grades Included Reported,0,129875,0,0,0,129875,0,129875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115878,0,115878,0.0,5411.45833333333
Paso Robles,CA,Covenant Presbyterian Church,Daniel P. Katches,2017,119,27,1,0,4,1,0,0,3,9,0,1,5,3,5,57,60,0,108,No Grades Included Reported,0,256432,6601,37013,0,300046,191,300237,0,0,0,22366,0,0,0,0,0,0,960,0,0,0,0,0,6676,1513,0,3617,0,0,35132,169844,76575,281551,0.124780235197176,2521.39495798319
Saltillo,MS,Redeemer Church in Saltillo,Phillip D. Reynolds,2017,50,2,1,1,1,0,0,1,0,0,0,0,0,3,1,0,15,0,32,No Grades Included Reported,0,86980,0,0,100,87080,1098,88178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,1140,72932,0,74072,0.0153904309320661,1741.6
Cherry Hill,NJ,Covenant Presbyterian Church,Robert H. Orner,2017,309,126,2,4,0,4,0,2,3,3,0,1,6,9,11,137,120,0,195,P,55,632052,59950,129357,0,821359,14841,836200,3300,0,4100,0,0,0,0,0,0,0,0,1000,15000,16750,0,27973,0,50140,0,0,0,0,118263,479863,0,598126,0.197722553441917,2658.11974110032
Short Hills,NJ,Covenant Presbyterian Church,Christopher Michael Diebold,2017,68,0,2,1,6,0,0,0,2,3,0,0,2,3,1,38,40,0,84,No Grades Included Reported,0,335045,0,0,0,335045,0,335045,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100,0,26000,0,0,1300,0,36000,241884,0,277884,0.129550459904133,4927.13235294118
Birmingham,AL,Covenant Presbyterian Church,Robert Holt,2017,877,285,16,0,9,6,0,2,30,210,0,0,28,23,28,357,195,0,457,PK,285,3694759,274621,585841,63048,4618269,131420,4749689,5000,0,0,0,0,5000,0,5000,0,0,10000,0,0,0,0,38400,61200,106350,76488,102556,2400,0,412394,3366406,0,3778800,0.109133587382238,5265.98517673888
Harrisonburg,VA,Covenant Presbyterian Church,Todd Pruitt,2017,846,115,9,18,22,20,0,7,9,62,0,8,19,10,9,480,425,0,761,No Grades Included Reported,0,1900513,43179,10915,0,1954607,3775,1958382,2400,680,7400,104500,3000,3000,0,38500,0,800,25307,0,0,0,0,0,99662,0,0,172179,0,1350,458778,1530334,4948,1994060,0.230072314774881,2310.41016548463
Auburn,AL,Covenant Presbyterian Church,Jere Scott Bradshaw,2017,159,49,0,0,8,7,0,1,23,43,0,0,3,7,5,89,60,0,152,No Grades Included Reported,0,435866,431,0,248125,684422,22414,706836,500,0,0,4800,0,0,0,24000,0,0,1000,0,0,0,0,9600,12500,3770,0,28100,1300,0,85570,542575,0,628145,0.136226508210684,4304.54088050314
Laurel,MS,Covenant Presbyterian Church,Vernon Carey Hammett IV,2017,59,8,0,0,0,0,0,1,0,0,0,0,0,2,1,21,15,0,45,No Grades Included Reported,0,102245,0,0,0,102245,50000,152245,450,250,500,0,200,150,50,1600,0,2600,450,0,0,0,525,19081,1790,0,0,0,0,0,27646,124599,0,152245,0.181588886334527,1732.96610169492
Issaquah,WA,Covenant Presbyterian Church,No Pastor Reported,2017,225,120,2,26,2,0,0,2,8,128,0,1,3,7,9,164,320,0,55,M,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Cynthiana,KY,Covenant Presbyterian Church,Matthew Soergel,2017,54,6,2,0,0,0,0,1,1,0,0,0,1,5,4,29,15,0,38,No Grades Included Reported,0,99665,0,0,0,99665,0,99665,0,0,1490,0,700,0,0,1200,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,4390,94695,0,99085,0.0443053943583792,1845.64814814815
Columbia,SC,Christ Covenant Church,Justin McGuire,2017,60,8,0,0,0,0,0,1,4,51,0,0,0,3,1,30,0,0,34,No Grades Included Reported,0,106188,975,540,0,107703,0,107703,0,0,0,1960,0,0,0,300,0,0,0,0,0,0,0,4000,0,0,0,8350,0,0,14610,66498,0,81108,0.180130196774671,1795.05
Palm Bay,FL,Covenant Church,Jerry Klemm,2017,523,145,13,7,0,20,0,2,4,24,0,5,7,18,19,268,0,0,479,PKEMH,315,1277202,210316,0,43401,1530919,0,1530919,0,0,0,0,0,0,0,0,0,0,0,0,0,20400,0,12977,22325,0,0,81949,0,0,137651,0,0,137651,1.0,2927.18738049713
Nitro,WV,Covenant Presbyterian Church,Josh Bailey,2017,57,13,2,1,0,1,0,3,0,12,0,0,1,4,5,29,30,0,60,No Grades Included Reported,0,118363,6217,7217,0,131797,1445,133242,45,45,45,1140,0,0,0,0,0,0,1200,0,1200,0,0,840,240,0,1644,0,0,0,6399,116226,15845,138470,0.0462121759225825,2312.22807017544
Warner Robins,GA,Covenant Presbyterian Church,Robert L. Jarrett,2017,35,6,0,0,1,0,0,0,0,0,0,0,0,2,2,0,25,0,40,No Grades Included Reported,0,93423,17720,0,1810,112953,0,112953,326,326,1211,8546,419,466,186,652,0,0,1673,0,0,0,0,1800,0,0,0,8590,0,0,24195,61977,13882,100054,0.241819417514542,3227.22857142857
Cedar Bluff,VA,Covenant Presbyterian Church,Carl C. Howell Jr.,2017,85,23,3,0,0,0,0,3,0,0,0,0,2,4,7,44,25,0,50,No Grades Included Reported,0,172140,6524,0,0,178664,0,178664,400,0,7110,10580,0,0,400,5500,0,1500,1000,0,0,0,0,3392,10801,0,0,5323,0,25539,71545,104595,0,176140,0.406182582037016,2101.92941176471
Harleysville,PA,Covenant Presbyterian Church,John P. Muhlfeld,2017,302,108,7,1,8,7,0,4,14,1,3,2,6,4,11,135,105,0,277,No Grades Included Reported,0,654780,41485,6000,1212,703477,173,703650,1200,500,500,500,500,500,500,8500,0,0,2465,0,6800,0,0,4800,7280,40400,4800,9000,0,0,88245,553087,47384,688716,0.12812973707595,2329.3940397351
Chicago,IL,Covenant Presbyterian Church,R. Aaron Baker,2017,410,132,7,2,7,15,0,0,134,0,0,2,17,5,4,217,130,0,280,P,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Hendersonville,NC,Covenant Presbyterian Church,Stephen Mirich Jr.,2017,182,288,0,0,3,15,0,5,0,0,0,0,0,6,5,95,0,0,175,No Grades Included Reported,0,322750,107283,0,0,0,0,430033,1519,68,1891,42957,2183,1247,2835,12974,0,0,0,7696,0,1216,0,20967,1582,0,0,0,7597,0,104732,246022,50097,400851,0.261274139268706,0.0
Orlando,FL,University Presbyterian Church,Richard John Gilmartin,2017,487,183,9,11,23,27,0,2,6,64,3,7,22,11,12,318,190,0,461,No Grades Included Reported,0,1138401,29115,76918,80794,1325228,44583,1369811,1000,0,1000,1000,500,500,300,500,0,500,5000,0,20000,17000,0,5239,18600,0,0,7577,0,0,78716,1009850,258007,1346573,0.0584565411604124,2721.20739219713
Lander,WY,Covenant Presbyterian Church,Scott MacNaughton,2017,71,11,0,3,0,7,0,2,0,0,0,2,1,4,3,47,36,0,65,No Grades Included Reported,0,216672,12881,29275,0,258828,0,258828,170,90,370,725,235,325,0,315,0,0,600,0,0,10500,0,1837,6036,0,0,7500,620,3500,32823,194101,0,226924,0.144643140434683,3645.46478873239
Wheat Ridge,CO,Covenant Presbyterian Church,Brad Irick,2017,61,40,0,1,2,0,0,1,1,7,0,1,1,3,3,31,40,0,78,No Grades Included Reported,0,143000,60,0,500,143560,35,143595,100,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,7258,2006,1700,0,0,11564,134417,0,145981,0.0792157883560189,2353.44262295082
Fayetteville,AR,Covenant Church,Paul S. Sagan,2017,145,49,4,0,6,5,0,0,7,3,0,1,1,4,5,74,67,0,121,No Grades Included Reported,0,319457,860,0,1240,321557,0,321557,0,0,0,31000,0,0,0,5200,0,0,625,0,0,14200,0,7200,9400,0,0,0,0,0,67625,175606,0,243231,0.278027882958998,2217.63448275862
Fayetteville,GA,Covenant Presbyterian Church,Jamie Lambert,2017,177,27,4,2,0,3,0,1,5,4,0,0,5,9,5,73,57,0,126,No Grades Included Reported,0,487652,30773,0,0,518425,0,518425,1200,1200,4476,34200,1548,1716,684,2748,0,0,3400,0,0,0,3000,14838,4767,8440,0,6295,0,0,88512,440488,40865,569865,0.155320997078255,2928.95480225989
Lakeland,FL,Covenant Presbyterian Church,David Brian McWilliams,2017,429,140,6,11,4,5,0,6,3,4,0,5,4,22,8,241,160,0,393,P,128,1106093,61511,145208,0,1312812,39106,1351918,2700,2373,8618,8014,4311,815,1001,2152,0,0,2400,0,0,0,1200,16051,68281,114720,11740,64968,0,0,309344,831147,68319,1208810,0.255907876341195,3060.16783216783
Sun City West,AZ,Covenant Presbyterian Church,Paul Muresan,2017,61,0,0,0,3,10,0,6,0,1,0,0,0,3,3,41,22,0,53,No Grades Included Reported,0,167047,350,350,1760,169507,0,169507,400,0,6330,28500,500,500,0,0,0,0,500,0,6500,0,0,1060,0,0,0,0,0,0,44290,161528,0,205818,0.215190119425901,2778.80327868852
West Chester,PA,Meadowcroft Presbyterian Church,Max Ryan Benfer,2017,137,96,0,3,17,0,0,1,4,14,1,0,3,3,4,75,80,0,179,No Grades Included Reported,0,498477,2529,7200,0,508206,6639,514845,2740,0,462,660,0,0,0,0,0,0,0,0,0,0,0,0,1064,9627,0,41932,0,0,56485,259753,103534,419772,0.134561142715569,3709.53284671533
Cleveland,MS,Covenant Presbyterian Church at Cleveland,Timothy A. Starnes,2017,613,126,7,0,13,0,0,1,0,0,0,5,11,9,12,200,250,0,350,No Grades Included Reported,0,854000,0,0,0,854000,0,854000,0,0,0,0,0,0,0,30000,0,5000,6000,0,0,0,0,90000,12000,8000,0,40000,0,3000,194000,630000,30000,854000,0.227166276346604,1393.1484502447
Little Rock,AR,Covenant Presbyterian Church at Little Rock,Tim J. Reed,2017,280,40,0,0,6,8,8,1,5,9,2,0,6,9,6,105,40,0,149,No Grades Included Reported,0,719025,1465,4739,1460,726689,5380,732069,393,344,1278,1475,442,491,196,13877,0,0,4000,0,0,0,0,27050,6502,89015,14006,34808,0,0,193877,434180,15598,643655,0.301212606132167,2595.31785714286
Waynesville,NC,Covenant Presbyterian Church,No Pastor Reported,2017,22,1,0,0,1,0,0,1,0,0,0,0,0,3,0,11,10,0,20,No Grades Included Reported,0,54656,0,0,150,54806,839,55645,100,0,535,900,0,0,0,900,0,0,0,0,0,0,900,0,0,0,0,1819,0,0,5154,39659,0,44813,0.115011269051391,2491.18181818182
Sebring,FL,Covenant Presbyterian Church,Paul C. Hurst,2017,132,13,0,8,0,0,0,3,3,1,0,0,1,6,3,146,20,0,108,No Grades Included Reported,0,235196,4676,9760,50,249682,282,249964,0,0,460,11934,230,230,0,2123,0,767,402,0,1725,0,0,3440,8365,0,0,20026,0,0,49702,238238,0,287940,0.172612349795096,1891.5303030303
Edwardsville,IL,Center Grove Presbyterian Church,Wes James,2017,119,38,10,0,0,2,0,0,9,0,0,0,0,3,3,61,70,0,122,No Grades Included Reported,0,428895,41164,0,1095,471154,107,471261,771,771,2870,20056,994,1106,447,1552,0,14170,500,1840,0,0,6900,725,40244,0,3360,35816,0,0,132122,325590,0,457712,0.288657496416961,3959.27731092437
Asheville,NC,Covenant Reformed Presbyterian Church,Sean McCann,2017,134,23,1,0,9,1,0,1,3,1,0,0,3,4,5,68,60,0,110,No Grades Included Reported,0,355968,11684,0,5010,372662,3224,375886,900,980,3200,3240,1200,1200,600,13100,0,1200,1800,0,0,0,0,27640,17150,13600,0,30641,0,9840,126291,255157,0,381448,0.331083135840272,2781.05970149254
Reisterstown,MD,Covenant of Grace Presbyterian Church,Mark C. Samuel,2017,315,40,0,3,1,4,0,3,3,14,0,1,1,7,8,140,75,0,212,No Grades Included Reported,0,781564,0,50000,9054,840618,0,840618,2280,2100,0,0,5100,3360,0,6750,0,0,6180,0,0,0,0,16920,9500,30863,12000,33197,1200,0,129450,652927,45000,827377,0.156458301354763,2668.62857142857
Edmonton,AB,Crestwood Presbyterian Church,Jeffrey Kerr,2017,152,46,5,0,1,1,0,1,1,11,0,0,4,5,5,78,60,0,180,No Grades Included Reported,0,355357,101614,4450,0,461421,3660,465081,1000,1000,1000,1000,0,0,0,1000,0,0,2000,0,5000,0,0,19008,10032,0,0,39480,0,0,80520,384561,0,465081,0.173131131996362,3035.66447368421
Simpsonville,SC,Christ Community Church,Paul Lambert Sanders,2017,232,40,2,0,1,26,0,4,0,2,1,1,8,7,4,108,128,0,227,No Grades Included Reported,0,692187,14815,129211,3115,839328,32817,872145,1600,0,1600,0,1600,0,0,0,0,0,4200,0,0,0,0,22900,10084,9600,16000,15400,6000,0,88984,569272,0,658256,0.135181449162636,3617.79310344828
Decatur,AL,Decatur Presbyterian Church,J. Scott Phillips,2017,284,42,5,3,9,12,0,0,15,14,0,1,1,9,8,111,0,0,223,No Grades Included Reported,0,984912,0,207594,0,1192506,0,1192506,2409,0,0,0,0,0,0,0,0,0,3224,0,0,0,2500,245926,18123,14400,18555,47273,0,0,352410,654142,178272,1184824,0.297436581298151,4198.96478873239
Delhi,LA,Delhi Presbyterian Church,Christopher Wright,2017,103,7,2,0,4,0,0,3,0,0,0,0,0,5,11,53,42,0,84,No Grades Included Reported,0,280414,6140,0,1350,287904,3717,291621,11663,0,0,35344,0,3500,0,400,0,2900,2834,0,0,0,4000,3125,9471,0,0,13755,0,3500,90492,113250,0,203742,0.444149954354036,2795.18446601942
